Age,Education ,Preference,Why,Recognition,Meaning
55-64,Vocational training,Nescafe,Respondant mainly drinks coffee in the morning before work (5AM) and doesn't have time to use a proper coffee machine.  Does have a pod machine but it is too expensive and noisy to use.,Rainforest Alliance & EU Organic Leaf,Believes the rainforest alliance logo means the coffee is confirmed to be from a rainforest and that the EU organic logo means the product is organic and is grown without chemicals.
45-54,Doctorate degree,Lavazza Bio-organic,"Respondant has been using the Lavazza brand for years, trusts it and likes their product.  Due to health reasons she's shifted her diet to (mostly) organic produce.",EU Organic Leaf,Respondant knows that EU Organic Logo means the product is mostly organic and without pesticide use.
64+,"High school graduate, diploma or the equivalent",Nescafe,"Respondants have been using Nescafe (original (cheaper) version, not the one in the photo) since the 1980s as they've never had excess money for more than a kettle.  They also mention that since it's been their routine for so long and they're of age, they find no reason to change.",None,
35-44,Master degree,Coffee Masters,Respondant is an avid coffee drinker with their own espresso machine at home.  He usually purchases from local coffee roasters (lot61) but occasionally purchases online.  Picked this brand of coffee as does recognize all three certification logos and also said the price difference isn't much between all.,"Rainforest Alliance,EU Organic Leaf & Faitrade Logo","Respondant said that Rainforest Alliance logo refers to sustainable farming in rainforests, EU Organic leaf means the product's organic and the fairtrade logo means that the farmers get some of the money from the sale of coffee."
45-54,Vocational training,Nescafe,"Respondant usually uses Nespresso Pods but hen he runs out resorts to Nescafe.  He prefers pods due to the variety of coffees with little preparation time.  He also has to wake up early
when having morning shifts at work.",Rainforest Alliance,Respondant recognized the frog immadiately but doesn't know what it means.
25-34,Master degree,Cafe Direct Machu,Respondant likes smaller brands and looked after organic coffee and at the same time this brand was a bit cheaper than the Coffee Masters ,"Rainforest Alliance,EU Organic Leaf & Faitrade Logo",Respondant recognized all the certification but did not know the meaning behind all on the packaging of the coffee masters 
25-34,Master degree,Lavazza Rossa,"Respondant knows and recognizes the brand of this coffee and would'nt like to take the risk of getting a ""bad"" coffee and the respondandt would never buy instant coffee",Fairtrade Logo & Rainforest Alliance,Respondant knows its something with organic labes and sustainability 
18-24,Master degree,Cafe Direct Machu,"Respondant prefers filter coffee, but this coffee is a bit cheaper cheaper and has experience with good coffee from Peru, also has the organic label.","Rainforest Alliance,EU Organic Leaf & Faitrade Logo",Respondant said the lables has different meanings but overall its about sustainable production and has a focus on equitablility 
25-34,Master degree,Nescafe,Respondant do not have a coffee maker at the moment and therefor the instant coffee is the choice ,Fairtrade Logo & Rainforest Alliance,Respondant said that it gurantee the coffee producer an income and the explortation process to make the coffee is organic
25-34,Master degree,Lavazza Rossa,Respondant chose this coffee because its good for making espresso and recognizes the brand from Italy,"Rainforest Alliance,EU Organic Leaf & Faitrade Logo",Respondant said the certifications is about not cutting trees down and focus on sustainability  
